Company Name
AAR Corp. (NYSE:AIR)
ABB Ltd (SWX:ABBN)
Abbott Laboratories (NYSE:ABT)
"Acuity Brands, Inc. (NYSE:AYI)"
"Advance Auto Parts, Inc. (NYSE:AAP)"
"Advanced Drainage Systems, Inc. (NYSE:WMS)"
"Advanced Micro Devices, Inc. (NasdaqGS:AMD)"
AGCO Corporation (NYSE:AGCO)
"Agilent Technologies, Inc. (NYSE:A)"
"Air Products and Chemicals, Inc. (NYSE:APD)"
Albemarle Corporation (NYSE:ALB)
Alcoa Corporation (NYSE:AA)
Alcon Inc. (SWX:ALC)
Algonquin Power & Utilities Corp. (TSX:AQN)
Alibaba Group Holding Limited (NYSE:BABA)
Alkermes plc (NasdaqGS:ALKS)
Alphabet Inc. (NasdaqGS:GOOG.L)
Altra Industrial Motion Corp. (NasdaqGS:AIMC)
Ambev S.A. (BOVESPA:ABEV3)
American Airlines Group Inc. (NasdaqGS:AAL)
"AMETEK, Inc. (NYSE:AME)"
"Amkor Technology, Inc. (NasdaqGS:AMKR)"
Amphenol Corporation (NYSE:APH)
"Analog Devices, Inc. (NasdaqGS:ADI)"
AngloGold Ashanti Limited (JSE:ANG)
"Applied Materials, Inc. (NasdaqGS:AMAT)"
Aptiv PLC (NYSE:APTV)
ArcelorMittal (ENXTAM:MT)
Archer-Daniels-Midland Company (NYSE:ADM)
Arconic Corporation (NYSE:ARNC)
"Arcosa, Inc. (NYSE:ACA)"
"Array Technologies, Inc. (NasdaqGM:ARRY)"
"Arrow Electronics, Inc. (NYSE:ARW)"
Ashland Global Holdings Inc. (NYSE:ASH)
Atkore Inc. (NYSE:ATKR)
Atmos Energy Corporation (NYSE:ATO)
"AutoZone, Inc. (NYSE:AZO)"
"Avangrid, Inc. (NYSE:AGR)"
"Avnet, Inc. (NasdaqGS:AVT)"
Baker Hughes Company (NasdaqGS:BKR)
Barrick Gold Corporation (TSX:ABX)
"Bath & Body Works, Inc. (NYSE:BBWI)"
Baxter International Inc. (NYSE:BAX)
"Beacon Roofing Supply, Inc. (NasdaqGS:BECN)"
"Becton, Dickinson and Company (NYSE:BDX)"
"BellRing Brands, Inc. (NYSE:BRBR)"
Berkshire Hathaway Inc. (NYSE:BRK.A)
"Best Buy Co., Inc. (NYSE:BBY)"
"Bio-Rad Laboratories, Inc. (NYSE:BIO)"
Biogen Inc. (NasdaqGS:BIIB)
Boise Cascade Company (NYSE:BCC)
BorgWarner Inc. (NYSE:BWA)
Boston Scientific Corporation (NYSE:BSX)
BP p.l.c. (LSE:BP.)
Braskem S.A. (BOVESPA:BRKM5)
British American Tobacco p.l.c. (LSE:BATS)
Brown-Forman Corporation (NYSE:BF.B)
Brunswick Corporation (NYSE:BC)
"Calumet Specialty Products Partners, L.P. (NasdaqGS:CLMT)"
Cameco Corporation (TSX:CCO)
Canadian National Railway Company (TSX:CNR)
Canadian Natural Resources Limited (TSX:CNQ)
Canon Inc. (TSE:7751)
Canopy Growth Corporation (TSX:WEED)
Carlisle Companies Incorporated (NYSE:CSL)
Carpenter Technology Corporation (NYSE:CRS)
"Catalent, Inc. (NYSE:CTLT)"
Celestica Inc. (TSX:CLS)
Cementos Pacasmayo S.A.A. (BVL:CPACASC1)
Cenovus Energy Inc. (TSX:CVE)
Century Aluminum Company (NasdaqGS:CENX)
"Century Communities, Inc. (NYSE:CCS)"
"CF Industries Holdings, Inc. (NYSE:CF)"
ChampionX Corporation (NasdaqGS:CHX)
"Charles River Laboratories International, Inc. (NYSE:CRL)"
Chevron Corporation (NYSE:CVX)
China Petroleum & Chemical Corporation (SEHK:386)
"Chunghwa Telecom Co., Ltd. (TWSE:2412)"
"Church & Dwight Co., Inc. (NYSE:CHD)"
Ciena Corporation (NYSE:CIEN)
Cintas Corporation (NasdaqGS:CTAS)
"Cisco Systems, Inc. (NasdaqGS:CSCO)"
"Coca-Cola FEMSA, S.A.B. de C.V. (NYSE:KOF)"
"Coeur Mining, Inc. (NYSE:CDE)"
"Coherent, Inc. (NasdaqGS:COHR)"
"Cohu, Inc. (NasdaqGS:COHU)"
Colfax Corporation (NYSE:CFX)
Columbus McKinnon Corporation (NasdaqGS:CMCO)
Commercial Metals Company (NYSE:CMC)
"Community Health Systems, Inc. (NYSE:CYH)"
Compañía Cervecerías Unidas S.A. (SNSE:CCU)
ConocoPhillips (NYSE:COP)
